"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"248","Bruce Brown Jr.","BKN","SG,SF DTD","152","246","207.7","40.4"
"249","Ty Jerome","OKC","PG,SG OUT","225","282","240.1","16.5"
"250","Trevor Ariza","FA","SG,SF,PF FA","142","264","224.6","41.6"
"251","Gary Harris","ORL","SG,SF DTD","200","275","241.7","18.5"
"252","Jarred Vanderbilt","MIN","PF,C","121","248","195.0","41.2"
"253","DeMarcus Cousins","DEN","PF,C","206","329","234.7","40.0"
"254","Talen Horton-Tucker","LAL","SG,SF","179","266","224.3","30.3"
"255","Hamidou Diallo","DET","SG,SF DTD","213","290","231.2","26.9"
"256","Tony Bradley","CHI","C","136","267","221.0","44.7"
"257","Marc Gasol","MEM","C","224","332","248.4","35.5"
"258","Marquese Chriss","DAL","PF,C DTD","229","243","236.3","5.2"
"259","Troy Brown Jr.","CHI","SG,SF","230","246","237.2","5.8"
"260","Kentavious Caldwell-Pope","WAS","PG,SG,SF DTD","109","264","207.0","63.7"
"261","JaVale McGee","PHO","C DTD","186","274","238.3","27.2"
"262","Jeff Green","DEN","SF,PF DTD","181","287","226.8","44.1"
"263","Cheick Diallo","FA","PF,C FA","224","330","246.3","37.6"
"264","Derrick Jones Jr.","CHI","SG,SF","238","280","250.1","13.2"
"265","Goga Bitadze","IND","C DTD","146","287","232.0","49.3"
"266","Patty Mills","BKN","PG","195","270","219.5","29.6"
"267","Justise Winslow","POR","PF,PG,SF DTD","239","256","246.8","5.9"
"268","Danuel House Jr.","UTH","SF,PF,SG","241","254","247.5","4.9"
"269","Jeff Teague","FA","PG,SG FA","232","334","253.5","36.3"
"270","Pat Connaughton","MIL","SG,SF DTD","182","268","221.8","32.7"
"271","Chris Duarte","IND","SG DTD","185","211","199.3","10.8"
"272","Grayson Allen","MIL","SG,SF DTD","218","271","240.0","18.6"
"273","Devin Vassell","SAS","SG,SF DTD","179","241","200.7","28.5"
"274","Kenrich Williams","OKC","SF,PF OUT","219","278","245.4","21.5"
"275","Alex Caruso","CHI","PG,SG DTD","181","244","212.3","25.7"
"276","Taj Gibson","NYK","PF,C DTD","164","250","213.7","36.4"
"277","Markieff Morris","MIA","PF,C DTD","133","277","235.8","59.5"
"278","Aron Baynes","FA","C FA","247","333","264.2","30.9"
"279","Zach Collins","SAS","PF,C DTD","246","255","251.0","3.6"
"280","JaMychal Green","DEN","PF,C DTD","217","281","253.4","24.3"
"281","Cedi Osman","CLE","SF,PF","205","260","243.3","22.3"
"282","Trey Murphy III","NOR","SG,SF","176","277","227.3","41.2"
"283","Onyeka Okongwu","ATL","PF,C","219","242","230.3","9.4"
"284","Wayne Ellington","LAL","SG,SF","227","244","235.0","7.0"
"285","Cory Joseph","DET","PG DTD","212","280","236.7","30.7"
"286","Willie Cauley-Stein","FA","PF,C FA","232","299","265.6","27.8"
"287","Payton Pritchard","BOS","PG","214","279","244.0","26.8"
